CitationNumber,DateScraped,Dispo,DispoChange
9Z0828346,2023-07-06,DF,False
9Z0828346,2023-07-05,DF,False
9Z0828346,2023-07-02,DF,False
9Z0828346,2023-06-28,DF,False
9Z0828346,2023-06-27,DF,False
9Z0828346,2023-06-09,DF,True
9Z0828346,2023-03-18,PN,False
73237039,2023-07-06,PD,False
73237039,2023-07-05,PD,False
73237039,2023-07-02,PD,True
73237039,2023-06-28,DF,False
73237039,2023-06-27,DF,False
73237039,2023-06-26,DF,False
73237039,2023-06-24,DF,False
2A0530631,2023-07-06,FE,False
2A0530631,2023-07-06,AM,False
2A0530631,2023-07-05,FE,False
2A0530631,2023-07-05,AM,False
2A0530631,2023-07-02,FE,False
2A0530631,2023-07-02,AM,False
2A0530631,2023-06-28,FE,False
2A0530631,2023-06-28,AM,False
2A0530631,2023-06-27,FE,False
2A0530631,2023-06-27,AM,False
2A0530631,2023-06-09,FE,True
2A0530631,2023-06-09,AM,True
2A0530631,2023-03-18,PN,False
2A0365587,2023-07-06,FE,False
2A0365587,2023-07-06,AM,False
2A0365587,2023-07-05,FE,False
2A0365587,2023-07-05,AM,False
2A0365587,2023-07-02,FE,False
2A0365587,2023-07-02,AM,False
2A0365587,2023-06-28,FE,False
2A0365587,2023-06-28,AM,False
2A0365587,2023-06-27,FE,False
2A0365587,2023-06-27,AM,False
2A0365587,2023-06-09,FE,False
2A0365587,2023-06-09,AM,False
2A0365587,2023-03-18,FE,False
2A0365587,2023-03-18,AM,False
2A0084843,2023-07-06,FE,False
2A0084843,2023-07-06,AM,False
2A0084843,2023-07-05,FE,False
2A0084843,2023-07-05,AM,False
2A0084843,2023-07-02,FE,False
2A0084843,2023-07-02,AM,False
2A0084843,2023-06-28,FE,False
2A0084843,2023-06-28,AM,False
2A0084843,2023-06-27,FE,False
2A0084843,2023-06-27,AM,False
2A0084843,2023-06-09,FE,False
2A0084843,2023-06-09,AM,False
2A0084843,2023-03-18,FE,False
2A0084843,2023-03-18,AM,False
2300665354,2023-07-06,CN,False
2300665354,2023-07-05,CN,False
2300665354,2023-07-02,CN,False
2300665354,2023-06-28,CN,False
2300665354,2023-06-27,CN,False
2300665354,2023-06-26,CN,False
2300665354,2023-06-24,CN,False
2300585594,2023-07-06,CN,False
2300585594,2023-07-05,CN,False
2300585594,2023-07-02,CN,False
2300585594,2023-06-28,CN,False
2300585594,2023-06-27,CN,False
2300585594,2023-06-26,CN,False
2300585594,2023-06-24,CN,False
2300538791,2023-07-06,DF,False
2300538791,2023-07-05,DF,False
2300538791,2023-07-02,DF,False
2300538791,2023-06-28,DF,False
2300538791,2023-06-27,DF,False
2300538791,2023-06-26,DF,False
2300538791,2023-06-24,DF,False
2200192913,2023-07-06,CN,False
2200192913,2023-07-05,CN,False
2200192913,2023-07-02,CN,False
2200192913,2023-06-28,CN,False
2200192913,2023-06-27,CN,False
2200192913,2023-06-09,CN,False
2200192913,2023-03-18,CN,False
2100935015,2023-07-06,CN,False
2100935015,2023-07-05,CN,False
2100935015,2023-07-02,CN,False
2100935015,2023-06-28,CN,False
2100935015,2023-06-27,CN,False
2100935015,2023-06-09,CN,False
2100935015,2023-03-18,CN,False
