DateScraped,CitationNumber,Sequence,ViolationCode,ViolationDescription,Plea,Finding,Dispo,DismissalReason,CloseDate
2023-03-18,9Z0828346,1,SMC11.55.200,MOVING RIGHT/LEFT W/O TURN SIGNAL,NA,NA,PN,NA,NA
2023-03-18,2A0530631,1,SMC11.52.04001U,SPEED 1-5 MPH >LIMIT  40&UNDR ZN,NA,NA,PN,NA,NA
2023-03-18,2100935015,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,NA,CN,NA,07/19/2021
2023-03-18,2200192913,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,02/18/2022
2023-03-18,2A0365587,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,12/16/2022
2023-03-18,2A0365587,1,SMC11.55.010,FAIL TO YIELD R/W AT INTERSECTION,C,C,AM,NA,12/15/2022
2023-03-18,2A0084843,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,11/23/2022
2023-03-18,2A0084843,1,SMC11.50.380,TCD  DISOBEY TRAFFIC CONTROL DEVICE,NA,NA,AM,NA,NA
2023-06-09,9Z0828346,1,SMC11.55.200,MOVING RIGHT/LEFT W/O TURN SIGNAL,NA,C,DF,NA,NA
2023-06-09,2A0530631,1,SMC11.22.070.A3,VEH LIC PLTS EXPIRED OVER 2 MONTHS,C,C,FE,NA,04/27/2023
2023-06-09,2A0530631,1,SMC11.52.04001U,SPEED 1-5 MPH >LIMIT  40&UNDR ZN,C,C,AM,NA,NA
2023-06-09,2100935015,1,11.50.140,RED LIGHT CAMERA VIOLATION,NA,NA,CN,NA,07/19/2021
2023-06-09,2200192913,1,11.52.100,"SPEED, SCHOOL CROSSWALKS CAMERA VIOLATION",NA,NA,CN,NA,02/18/2022
2023-06-09,2A0365587,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,12/16/2022
2023-06-09,2A0365587,1,SMC11.55.010,FAIL TO YIELD R/W AT INTERSECTION,C,C,AM,NA,12/15/2022
2023-06-09,2A0084843,1,SMC11.58.198.C,NO/IMPROPER SAFETY BELT USE (>16),C,C,FE,NA,11/23/2022
2023-06-09,2A0084843,1,SMC11.50.380,TCD  DISOBEY TRAFFIC CONTROL DEVICE,NA,NA,AM,NA,NA
2023-06-24,2300538791,1,11.50.150,RED ARROW CAMERA VIOLATIONS,NA,C,DF,NA,NA
2023-06-24,73237039,1,11.72.145,EXPIRED / IMPROPER PLATES,NA,C,DF,NA,NA
