DateScraped,CitationNumber,HearingTime,HearingType,Courtroom,Status
2023-03-18,2A0530631,04/27/2023 09:00 AM,DISPO,301,A
2023-03-18,2A0530631,02/14/2023 09:05 AM,CTH,301,H
2023-03-18,2A0530631,01/31/2023 09:05 AM,CTH,301,H
2023-03-18,2A0530631,01/12/2023 02:00 PM,CTH,301,H
2023-03-18,2A0530631,01/11/2023 02:00 PM,CTH,301,C
2023-03-18,2A0530631,11/29/2022 02:00 PM,CTH,301,H
2023-03-18,2A0530631,11/28/2022 03:00 PM,CTSC,201,C
2023-03-18,2A0365587,12/15/2022 01:33 PM,DISPO,301,H
2023-03-18,2A0365587,11/15/2022 01:35 PM,CTH,301,H
2023-03-18,2A0365587,11/09/2022 02:00 PM,CTSC,201,C
2023-03-18,2A0084843,11/15/2022 02:00 PM,CTH,301,H
2023-03-18,2A0084843,11/14/2022 03:45 PM,CTSC,201,C
2023-06-09,2A0365587,12/15/2022 01:33 PM,DISPO,301,H
2023-06-09,2A0365587,11/15/2022 01:35 PM,CTH,301,H
2023-06-09,2A0365587,11/09/2022 02:00 PM,CTSC,201,C
2023-06-09,2A0084843,11/15/2022 02:00 PM,CTH,301,H
2023-06-09,2A0084843,11/14/2022 03:45 PM,CTSC,201,C
2023-06-27,2A0530631,04/27/2023 09:00 AM,DISPO,301,H
2023-06-27,2A0530631,02/14/2023 09:05 AM,CTH,301,H
2023-06-27,2A0530631,01/31/2023 09:05 AM,CTH,301,H
2023-06-27,2A0530631,01/12/2023 02:00 PM,CTH,301,H
2023-06-27,2A0530631,01/11/2023 02:00 PM,CTH,301,C
2023-06-27,2A0530631,11/29/2022 02:00 PM,CTH,301,H
2023-06-27,2A0530631,11/28/2022 03:00 PM,CTSC,201,C
2023-06-27,2A0365587,12/15/2022 01:33 PM,DISPO,301,H
2023-06-27,2A0365587,11/15/2022 01:35 PM,CTH,301,H
2023-06-27,2A0365587,11/09/2022 02:00 PM,CTSC,201,C
2023-06-27,2A0084843,11/15/2022 02:00 PM,CTH,301,H
2023-06-27,2A0084843,11/14/2022 03:45 PM,CTSC,201,C
2023-06-28,2A0530631,04/27/2023 09:00 AM,DISPO,301,H
2023-06-28,2A0530631,02/14/2023 09:05 AM,CTH,301,H
2023-06-28,2A0530631,01/31/2023 09:05 AM,CTH,301,H
2023-06-28,2A0530631,01/12/2023 02:00 PM,CTH,301,H
2023-06-28,2A0530631,01/11/2023 02:00 PM,CTH,301,C
2023-06-28,2A0530631,11/29/2022 02:00 PM,CTH,301,H
2023-06-28,2A0530631,11/28/2022 03:00 PM,CTSC,201,C
2023-06-28,2A0365587,12/15/2022 01:33 PM,DISPO,301,H
2023-06-28,2A0365587,11/15/2022 01:35 PM,CTH,301,H
2023-06-28,2A0365587,11/09/2022 02:00 PM,CTSC,201,C
2023-06-28,2A0084843,11/15/2022 02:00 PM,CTH,301,H
2023-06-28,2A0084843,11/14/2022 03:45 PM,CTSC,201,C
2023-07-02,2A0530631,04/27/2023 09:00 AM,DISPO,301,H
2023-07-02,2A0530631,02/14/2023 09:05 AM,CTH,301,H
2023-07-02,2A0530631,01/31/2023 09:05 AM,CTH,301,H
2023-07-02,2A0530631,01/12/2023 02:00 PM,CTH,301,H
2023-07-02,2A0530631,01/11/2023 02:00 PM,CTH,301,C
2023-07-02,2A0530631,11/29/2022 02:00 PM,CTH,301,H
